title,address,total_ratings,rating,type,type2,description,timing,phone
Mirch Masala,"S K Choudhari Marg, Vadodara 390007 India",156 reviews,4.0,"Indian, Asian","Vegetarian Friendly, Vegan Options","Lunch, Dinner",,+91 265 235 0685
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Surya Palace,"Surya Palace Lalbaug Road Near Sallam Medical, Vadodara 390001 India",30 reviews,4.5,"Indian, Asian","Vegetarian Friendly, Vegan Options","Breakfast, Lunch, Dinner",,2226000
My Restaurant,"Old Padra Road Solitare Complex Ground Floor, Vadodara 390015 India",46 reviews,4.0,"Indian, Asian","Vegetarian Friendly, Halal","Lunch, Dinner, After-hours",8:00 am - 11:00 pm and 8:00 am - 11:00 pm,+91 93204 46545
,,,,,,,,
PinXX - KIitchen and Lounge,"Rocv. Akota Mujhmahuda, Vadodara 390020 India",64 reviews,4.0,"Italian, Chinese, Indian, International, Asian","Vegetarian Friendly, Vegan Options","Breakfast, Lunch, Dinner",7:00 am - 12:00 am and 7:00 am - 12:00 am,+91 99798 62305
,,,,,,,,
Ratri Bajar,"L&T Circle, Vadodara India",62 reviews,4.0,"Indian, Fast food, Asian","Vegetarian Friendly, Vegan Options",Dinner,,"L&T Circle, Vadodara India"
,,,,,,,,
,,,,,,,,
Mynt,"Vivanta Vadodara, Akota Gardens Shushil Park Society, Sheetal Nagar, Akota, Vadodara 390020 India",24 reviews,5.0,"Chinese, American, Indian, Pizza, International, Asian","Breakfast, Lunch, Dinner","Reservations, Buffet, Seating, Accepts Mastercard, Accepts Visa, Accepts Credit Cards, Table Service, Family style, Gift Cards Available",7:00 am - 1:00 am and 7:00 am - 1:00 am,+91 265 661 7676
Sankalp Restaurant,"101/102 Race Course Road Opposite Axis Bank, Alkapuri, Vadodara 390007 India",56 reviews,4.0,"Indian, Asian","Vegetarian Friendly, Vegan Options","Lunch, Dinner",11:00 am - 11:00 pm and 11:00 am - 11:00 pm,+91 265 235 1516
,,,,,,,,
,,,,,,,,
Hariyali Restaurant,"48 Waghodia Road Opp Prabhat Bus Stop, Vadodara 390019 India",50 reviews,4.0,"Chinese, Indian","Vegetarian Friendly, Vegan Options","Lunch, Dinner, Brunch",11:00 am - 11:00 pm and 11:00 am - 11:00 pm,+917283944856
,,,,,,,,
,,,,,,,,
Gordhan Thal,"Jetalpur Road Dreamland Building, Below Chocolate Room, Alkapuri, Vadodara 390007 India",49 reviews,4.0,Indian,"Vegetarian Friendly, Vegan Options","Lunch, Dinner",,+91 265 235 6699
Milton's South Corner,"Pratham Avenue 9-14 Pratham Plaza, Opposite Taj Vivanta, Near The Gateway Hotel, Vadodara 390020 India",54 reviews,4.0,₹1 – ₹4,"Indian, Asian","Vegetarian Friendly, Vegan Options",8:00 am - 4:00 pm and 6:15 pm - 11:00 pm,+91 84608 88999
White Potato Restaurant,"4, Rajnagar Society, G.E.B. Road Opposite Ajit Nagar, Akota, Vadodara 390020 India",64 reviews,4.0,"Indian, Pizza, Fast food, Asian","Vegetarian Friendly, Vegan Options","Lunch, Dinner, Brunch",10:30 am - 11:00 pm and 10:30 am - 11:00 pm,+91 265 232 3654
La Benito,"Shantanam Beside Tbz 1st Floor Race Course Road Oposite INOX multiplex, Vadodara 390007 India",57 reviews,4.0,₹2 – ₹10,"Italian, Mexican, Pizza, Mediterranean","Vegetarian Friendly, Vegan Options",11:00 am - 3:00 pm and 7:00 pm - 11:00 pm,+91 88662 56677
,,,,,,,,
,,,,,,,,
Rasa,"1275, Ward No. 7, Opposite 7 Seas Mall Fatehgunj, Four Points by Sheraton, Vadodara 390002 India",22 reviews,4.5,₹3 – ₹8,"Chinese, Indian, International","Vegetarian Friendly, Vegan Options",7:00 am - 11:00 pm and 7:00 am - 11:00 pm,+91 265 304 0065
Cafe Fitoor,"SB 1,2,3 Landmark Complex Race Course, Vadodara 390007 India",43 reviews,4.5,₹2 – ₹14,Diner,Vegetarian Friendly,12:00 pm - 10:30 pm and 12:00 pm - 10:30 pm,+91 265 605 5590
Gangaur Sweets,"9 Jetalpur Road G-1, Gold Croft, Alkapuri, Opposite Chikoowadi, Vadodara 390007 India",11 reviews,4.5,₹₹ - ₹₹₹,₹₹ - ₹₹₹,₹₹ - ₹₹₹,,+91 99749 83288
