title,address,total_ratings,rating,type,type2,description,timing,phone
Hotel Nyay Mandir Restaurant,"8 National Highway, Bharuch 392011 India",77 reviews,4.0,"Chinese, Indian, Fast food, Asian","Vegetarian Friendly, Vegan Options","Breakfast, Lunch, Dinner, Brunch, After-hours",6:00 am - 5:59 am and 6:00 am - 5:59 am,+91 92274 34545
,,,,,,,,
Sankalp Restaurant,"101 The Plaza Opposite Saffron Building, Fatehgunj, Vadodara 390002 India",23 reviews,4.0,"Indian, Asian","Vegetarian Friendly, Vegan Options","Lunch, Dinner",11:00 am - 11:00 pm and 11:00 am - 11:00 pm,2750440
,,,,,,,,
Bendys Kitchen,"A-7 Vishakha Park, opp Nene Clinic, Rajesh Tower Rd, Vadodara 390021 India",10 reviews,4.5,"Lunch, Dinner",,,11:00 am - 3:00 pm and 6:00 pm - 11:00 pm,+91 94268 06096
,,,,,,,,
Tasty Vadapav,"Nizampura Road Beside 7 Seas Mall, Fatehgunj, Vadodara 390002 India",43 reviews,4.5,"Indian, Fast food",Vegetarian Friendly,Breakfast,,+91 96244 15638
,,,,,,,,
,,,,,,,,
Curry Kingdom Vadodara,"Indraprasth Complex, B-Wing, Race Course Rd Ellora Park, Vadodara 390023 India",4 reviews,5.0,"Chinese, Indian, Barbecue, Thai, Central Asian","Lunch, Dinner, Brunch, After-hours","Delivery, Takeout, Reservations, Seating, Parking Available, Validated Parking, Valet Parking, Television, Accepts American Express, Accepts Mastercard, Accepts Visa, Digital Payments, Free Wifi, Accepts Credit Cards, Table Service, Family style, Non-smoking restaurants",12:45 pm - 11:45 pm and 12:45 pm - 11:45 pm,+91 63524 42928
Khamma Ghani - The Royal Kitchens Of Rajasthan,"Jetalpur Road Capri House 2, 15, Sudha Nagar, Vadodara 390007 India",56 reviews,4.0,"Indian, Asian",Vegetarian Friendly,"Lunch, Dinner",11:30 am - 3:00 pm and 7:00 pm - 10:30 pm,+91 265 233 7809
,,,,,,,,
Manmohan,"Kothi Char Rasta, Vadodara 390001 India",8 reviews,3.5,Indian,"₹₹ - ₹₹₹ · Indian, Asian","₹₹ - ₹₹₹ · Indian, Asian",,+91 96388 25686
The Dhaba,"Old Padra Road 63 Haribhakti Society Extension, Ground Floor, Opp Abs Tower, Vadodara 390007 India",16 reviews,4.5,₹2 – ₹7,Indian,"Lunch, Dinner",12:00 pm - 3:15 pm and 7:00 pm - 11:00 pm,+91 97140 08551
Barbeque Nation,"3rd Floor, Cinemall, Race Course Rd, Near Natubai Circle Near Natubai Circle,, Vadodara 390007 India",19 reviews,4.5,Indian,Vegetarian Friendly,"Lunch, Dinner",12:00 pm - 3:00 pm and 7:00 pm - 11:00 pm,+91 78490 06060
Ekta Restaurant & Banquet,"Samarkha Crossing National Highway No 8, Anand 388001 India",55 reviews,4.0,₹0 – ₹4,"Chinese, Indian, Fast food, Asian","Vegetarian Friendly, Vegan Options",7:00 am - 11:55 pm and 7:00 am - 11:55 pm,+91 89804 00004
,,,,,,,,
,,,,,,,,
Tandoor A Garden Restaurant,"Village Limda, Tal Waghodia, Vadodara 391760 India",17 reviews,3.5,Indian,Vegetarian Friendly,"Lunch, Dinner",,+91 98252 52546
22nd Parallel,"GF 9&10 , RBG Bricklane, Nr VUDA Circle, Vadodara 390018 India",11 reviews,3.5,Asian,"Lunch, Dinner","Seating, Table Service",11:00 am - 11:00 pm and 11:00 am - 11:00 pm,+91 81410 39393
Havmor,"Inox Road Cine Mall, Race Course, Vadodara 390007 India",16 reviews,4.5,"Indian, Asian","Vegetarian Friendly, Vegan Options","Lunch, Dinner",,"Inox Road Cine Mall, Race Course, Vadodara 390007 India"
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
